simbolo,canal_pct,score_volumen,score_precio,p25,p75,v25,v75,close_ult,vol_ult,vol_media_60,z_close,z_vol,ret_5d,ma20_pos,volat_60d,atr_pct,body_pct,wick_sup_pct,wick_inf_pct,volumen_rank,canal_pct_norm,body_pct_norm,z_vol_clipped,ret_5d_clipped,score_final,fecha_senal
DLTR,18.62455586261351,9,9,71.78,86.53,3136575,6538000,96.67,11801400,5742350.0,1.9,1.61,6.72,8.45,62.52,2.94,84.16,12.48,3.36,7,0.35675889153130147,0.9093462992976769,1.61,5.0,21.83286408236028,2025-06-06
AVGO,25.050986559205835,9,9,178.0,228.97,18729000,31456500,259.93,41970900,27816701.666666668,2.07,1.03,7.42,10.6,61.97,2.71,51.8,33.28,14.92,9,0.4948772589582034,0.5596974608319827,1.03,5.0,21.00945197874839,2025-06-06
WDC,19.874494491702688,9,9,40.36,49.27,5263850,8221500,55.05,10981500,7801076.5,1.84,0.75,4.76,9.28,66.13,2.58,12.23,40.29,47.48,8,0.38362286797240136,0.13214478660183684,0.75,4.76,20.189390522546642,2025-06-06
MU,22.07581097604832,9,9,77.3,96.48,16349825,27826250,106.29,28833700,23803088.333333332,1.61,0.43,9.8,10.51,77.49,3.05,0.29,78.0,21.71,9,0.43093408213813833,0.0031334413830361963,0.43,5.0,20.185001605659313,2025-06-06
CMG,2.8380800637323187,9,9,49.5,50.92,10725775,15510025,52.6,19100200,13784823.333333334,1.69,1.19,5.77,3.07,39.37,2.05,8.98,75.45,15.57,9,0.01747222250646549,0.09702863317125879,1.19,5.0,20.131973078184192,2025-06-06
TSCO,5.077381242981988,9,5,49.91,52.51,4227575,6708100,51.45,10694300,5681350.0,0.05,2.39,5.06,1.61,34.93,2.46,78.28,21.72,0.0,7,0.06559981271281498,0.8458130740140465,2.39,5.0,19.817012699439676,2025-06-06
MRVL,12.409859441841519,9,8,57.56,65.17,13349100,20833150,65.16,23426600,19196145.0,0.65,0.49,2.24,3.73,80.78,4.1,75.9,11.51,12.59,9,0.22319116720401774,0.8200972447325771,0.49,2.24,19.226479579140612,2025-06-06
EBAY,6.6963223314478055,9,9,66.0,70.57,4150875,6464575,77.74,6642300,5669355.0,2.54,0.44,6.87,7.47,27.67,1.78,32.03,59.48,8.5,7,0.10039447722507669,0.34608319827120476,0.44,5.0,18.94687215272136,2025-06-06
MOS,24.197168156037044,8,9,26.93,34.34,4222450,6317100,36.4,6215300,5551821.666666667,1.54,0.36,1.36,3.51,39.33,2.04,60.94,15.63,23.44,7,0.47652679203614506,0.6584548892490545,0.36,1.36,18.111508473321344,2025-06-06
GEN,9.686447504009626,8,9,25.49,28.09,3184450,5129825,29.13,5016600,4773400.0,1.4,0.09,4.04,2.24,39.08,1.64,5.66,79.25,15.09,7,0.16465895415397508,0.06115613182063749,0.09,4.04,18.10047404012859,2025-06-06
