simbolo,canal_pct,score_volumen,score_precio,p25,p75,v25,v75,close_ult,vol_ult,vol_media_60,z_close,z_vol,ret_5d,ma20_pos,volat_60d,atr_pct,body_pct,wick_sup_pct,wick_inf_pct,volumen_rank,canal_pct_norm,body_pct_norm,z_vol_clipped,ret_5d_clipped,score_final,fecha_senal
ON,12.030941908084323,9,9,38.73,43.68,6680150,13084700,50.28,28175600,10636553.333333334,2.41,3.08,17.34,15.41,82.78,3.65,57.4,24.26,18.34,8,0.22310542581739504,0.6035794662951453,3.0,5.0,22.139790317929933,2025-06-05
MRVL,12.562589049460628,9,9,57.56,65.27,13349100,20833150,66.3,26954000,19193981.666666668,0.82,0.9,2.65,6.29,81.11,3.94,63.06,14.12,22.82,9,0.2349334123770984,0.6642374879434145,0.9,2.65,20.53910431269761,2025-06-05
WFC,7.812115458988143,9,9,68.33,73.88,12100600,20488825,75.38,29562300,18015081.666666668,1.06,1.49,2.24,1.07,37.96,1.89,67.84,32.16,0.0,9,0.1292457609117381,0.7154645804308221,1.49,2.24,20.5239561022543,2025-06-05
CMG,2.80371504693608,9,9,49.5,50.9,10725775,15453400,52.16,17870400,13672351.666666666,1.47,0.95,4.17,2.3,39.34,1.94,84.05,9.91,6.03,9,0.017819801569592147,0.8891865823598757,0.95,4.17,20.489826185499062,2025-06-05
DLTR,18.972443284101733,9,9,71.24,86.17,3128925,6202425,88.62,15586200,5595130.0,1.1,2.7,-0.81,0.1,61.52,2.85,46.02,1.99,51.99,7,0.3775386552844974,0.48162040510127535,2.7,-0.81,20.431697715670264,2025-06-05
AVGO,24.90685750119887,9,9,178.0,228.64,18729000,31440975,261.08,31473900,27818705.0,2.24,0.27,9.04,12.41,62.02,2.71,38.52,55.48,5.99,9,0.5095663972522746,0.4012431679348409,0.27,5.0,19.950375962439388,2025-06-05
DG,8.369789517127517,9,9,87.06,94.66,3143100,5187325,111.77,6037000,4668015.0,2.8,0.56,14.32,14.94,49.83,2.82,60.04,0.0,39.96,7,0.14165278946697843,0.6318722537777303,0.56,5.0,19.175177832711682,2025-06-05
EBAY,6.856282477369112,8,9,65.74,70.41,4150875,6464575,77.1,6283900,5679548.333333333,2.56,0.27,6.49,7.18,27.66,1.78,60.58,16.79,22.63,7,0.1079805668007651,0.6376594148537135,0.27,5.0,18.063620548455248,2025-06-05
ALLY,9.146408334856531,9,7,32.63,35.76,3036400,5141950,35.34,6260400,4750706.666666667,0.59,0.46,1.26,0.88,46.95,2.38,52.63,32.33,15.04,7,0.1589308602459006,0.552459543457293,0.46,1.26,17.370321263949094,2025-06-05
NRG,46.50297172359969,6,9,95.88,153.98,2215025,3759325,156.97,3204200,3316850.0,1.51,-0.06,0.58,3.85,76.41,2.64,94.39,0.0,5.61,6,0.9900327232878214,1.0,0.0,0.58,16.76006544657564,2025-06-05
